Cell	I-0.53	I-0.87	I-1.57	I-3.37	I-4.34	I-4.47	I-4.79	I-5.38	I-5.58	I-7.00	I-7.05	I-7.96	I-8.22	I-9.05	I-9.80	I-10.71	I-11.26	I-11.46	I-12.69	I-13.35	I-13.65	I-13.94	I-14.38	I-14.39	I-14.65	II-0.05	II-0.14	II-1.64	II-2.77	II-5.01	II-5.15	II-6.04	II-6.82	II-7.17	II-7.77	II-8.68	II-8.72	II-10.55	II-11.03	II-11.06	II-11.47	II-12.46	II-12.71	II-13.82	II-14.29	III-2.08	III-2.37	III-4.06	III-4.10	III-4.45	III-6.85	III-8.00	III-8.21	III-8.26	III-8.92	III-12.86	IV-0.56	IV-1.69	IV-3.21	IV-5.88	IV-5.96	IV-6.40	IV-6.67	IV-6.79	IV-8.39	IV-9.06	IV-9.11	IV-10.51	IV-11.19	IV-13.02	IV-13.38	IV-14.28	IV-15.59	IV-16.64	V-0.38	V-0.88	V-1.25	V-1.61	V-5.09	V-5.10	V-9.65	V-11.81	V-13.14	V-13.62	V-13.72	V-14.31	V-14.72	V-14.78	V-15.66	V-17.01	V-17.03	V-17.30	V-17.43	V-17.71	V-18.86	V-19.09	V-19.13	X-0.17	X-2.70	X-3.80	X-4.52	X-4.63	X-6.01	X-6.76	X-8.16	X-9.03	X-13.48	X-17.15	X-17.23	X-17.29	X-17.60	X-17.69	X-17.72
ABplaapaap	0	3.12362828	0	0	0	3.511778986	3.812609958	3.693528887	4.65358266	3.888956102	3.1953834	4.353368195	2.726697683	3.838460679	3.205909029	4.003880738	0	0	0	0	0	3.385694932	0	0	4.192731163	0	0	0	0	3.834596759	3.200208392	2.946532232	3.173550361	2.718722746	3.578847301	4.210173921	4.634071538	3.744885564	3.218467018	3.024773897	3.741625344	2.904501782	3.32516527	0	2.405310334	0	0	4.192257757	3.667009877	5.041276971	0	4.018904301	2.719402881	4.044787105	3.664687891	0	0	0	2.578969321	2.328433502	3.606399471	4.111757191	0	3.925993614	3.78243077	2.696742268	3.502849756	4.04470678	0	0	3.682082087	0	0	0	0	0	2.836739037	0	4.596627981	0	3.304282967	3.997385066	3.500543455	4.016774159	2.621965372	0	3.677598422	0	0	0	0	0	0	0	4.021625822	0	0	0	0	0	0.384499311	0	0	0	3.220410788	0	0	0	0	0	0	0	0
ABplaapapa	0	0	0	0	0	3.387620358	4.050723577	3.259348145	4.195562812	3.4306618	3.088578995	4.323915706	2.17773961	3.584875618	3.175567575	3.521235008	0	0	0	0	0	2.949609326	0	0	3.922834174	2.930418986	1.955326831	0	2.741405205	3.39566574	2.690867407	0	2.873588062	2.430320438	2.982389333	4.038482054	4.009606032	3.202312138	3.24767708	2.583015503	3.745672759	2.640454398	3.029921622	0	2.123366209	0	0	4.021861868	3.800219469	5.229077293	0	4.015848064	0	4.019668606	3.771315203	0	0	0	0	2.331631272	3.184137907	4.042982956	0	3.881975609	3.716521908	0	3.711223462	4.030665443	0	2.634295829	4.054213983	0	0	0	0	0	2.666823962	0	4.282553615	0	2.949311678	3.075092562	3.395978559	4.221693362	2.565203358	4.171324511	3.760394405	0	2.999602018	0	0	0	0	0	3.570736537	0	0	0	0	0	2.720938342	0	0	0	2.255675089	0	0	0	0	0	0	0	0
ABplaapapp	0	0	0	0	0	3.227634603	3.974309029	3.655199146	4.431314219	3.409622114	3.404805459	4.371535801	2.588053096	3.770605648	3.279995724	3.689362699	0	0	0	0	2.820093925	3.402759033	0	0	4.23742728	0	2.540917238	0	3.126588108	3.873526488	3.416426762	2.798210658	3.293860393	2.646373524	3.468644881	4.315526449	4.312360812	3.500980284	3.48232195	3.019204128	3.961052799	2.730681734	3.487774164	2.558999084	2.182451354	0	0	4.325102156	4.017637556	4.993286516	0	4.168290949	2.555983277	4.065162059	4.112881636	2.416928519	0	0	0	2.314776254	3.440573131	4.110560549	0	4.020931759	3.741442052	0.214014273	4.087696829	4.067531769	0	3.203386867	4.165949666	0	0	2.158334925	0	0	2.496910394	0	4.506640506	0	3.255482995	3.752156907	3.78262256	4.358783926	2.795247879	3.896694624	3.62952964	0	3.237342421	0	0	0	0	0	3.894569937	0	0	0	0	0	3.427230759	2.100998167	2.057563509	0	2.586227593	0	0	0	0	0	2.343302174	0	0
ABplaappaa	3.886600262	4.23994808	0	0	0	3.643595924	5.052369269	4.974239474	5.461704871	5.129733002	4.537413283	5.071319124	4.308426543	4.102683083	4.635924216	4.711660502	2.411890017	0	2.592705537	3.474812256	3.860491153	4.634151566	0	0	5.159069771	3.358235079	2.674718402	0	3.455597979	5.187326295	4.506315372	3.574417175	4.361678327	4.099024388	4.594603184	5.156994423	5.73123402	4.103193189	3.927701436	3.607202339	4.613771028	0	4.505222981	0	3.798726275	0	0	5.32374756	4.182435584	5.550440153	3.854009936	5.486451306	4.192877323	4.735141575	4.803597844	4.398204103	2.638988146	3.827685457	2.74501612	3.623873483	5.054477516	4.96847295	0	4.856560892	5.0315598	4.088923277	4.800502089	5.055109019	3.322062186	0	5.504340427	3.497619675	0	2.715518949	0	3.974629609	3.514866721	0	5.296481488	3.787526399	4.732891507	5.148200992	4.775443882	5.241303243	4.453110922	5.386858564	4.424933212	0	3.462928669	0	0	0	0	0	4.829913387	0	0	0	0	0	4.980809428	3.35329969	3.525854396	0	3.986234282	0	0	2.29935071	0	3.572320577	3.27029954	3.932293353	0
ABplaappap	4.794583384	4.382944689	0	0	0	3.898524218	5.186249756	5.043593165	5.533147205	4.972397126	4.620351681	4.970808248	4.525614154	4.23832373	4.605414467	4.727617982	2.94919739	0	2.716668637	3.506767089	3.995974886	4.64806579	0	0	5.055687981	3.308621798	3.313977535	0	3.542648136	5.242594171	4.683060939	3.646887316	4.023835603	3.957157375	4.684607433	5.276866333	5.979074191	4.084948089	4.133424923	3.781173078	4.562906902	0	4.939718124	2.893603181	3.70752892	0	0	5.402107501	4.231846059	5.241267124	4.031734302	5.373223291	4.634055068	4.852220394	4.704751119	4.314223462	2.43618568	3.750625116	2.705044148	3.380871617	4.811594598	5.129669975	2.729684217	4.867267462	5.191171767	4.192367503	4.878062254	5.26486866	3.652786362	4.661464442	5.508201569	3.706654178	0	3.507472934	0	4.181220713	3.855764311	0	5.518880912	4.174857579	4.541033456	5.117421176	4.991469078	5.269016292	4.547275172	5.320922169	4.407470094	0	3.442215594	0	0	0	0	0	4.833488235	0	0	0	0	2.894035302	5.122934497	3.557428515	3.769241861	0	3.79676834	0	0	2.769967714	0	3.438758879	2.95739171	3.313800949	0
ABplaapppa	4.865264891	4.238932544	3.001249668	0	0	4.172806997	4.895446603	5.008132247	5.334918894	4.783364919	4.665066764	5.061595009	4.417304137	4.06102556	4.119653123	4.423453234	0	0	2.420100671	2.712593662	4.539876411	4.795820634	0	0	4.824189204	3.001880416	3.774905469	0	3.339860311	4.899450599	4.804342631	4.342307942	3.905087651	3.796915594	4.57079517	5.100607097	5.706551726	3.732225141	4.587340472	4.154572788	4.641336509	3.582373661	4.8909458	3.199932304	3.341421846	0	0	5.242438015	4.360881155	5.432351616	3.573968637	4.892319304	4.692520428	4.608046046	5.005724999	4.231040012	2.226201237	3.698650978	0	3.676827469	4.880408182	4.677641523	2.955193995	4.727716778	4.973302919	4.082608275	4.612915683	5.052537014	3.215834058	4.270954615	5.18507833	4.006916323	0	3.640632563	0	3.189471224	4.089897484	0	5.497601366	4.030345873	4.50338553	5.002858487	4.601827284	5.227791511	4.773159682	5.337295308	4.641375484	0	3.046944905	0	0	0	0	0	4.767497145	0	0	0	0	3.119089064	5.091408673	3.446026625	3.984240677	0	3.870595403	0	0	2.633064038	2.058446452	3.300888133	3.18833054	3.465004121	0
ABplaapppp	4.859564098	4.167092076	2.81409205	0	0	4.314213663	4.521308882	4.927618385	5.401314389	4.799175137	4.796907178	5.208999747	4.477303144	4.082193003	4.245106357	4.46038338	0	0	2.794597015	2.751231259	4.59150932	4.905040736	0	0	4.915479209	3.414068685	3.493984427	0	3.439880636	4.885578975	5.161502782	4.679032219	3.946152555	3.864038909	4.630709601	5.22454277	5.573750458	3.809384551	5.032547133	4.267031706	4.683250883	3.503699223	4.984551931	3.164829028	3.163813621	0	0	5.337724211	4.191424183	5.455452112	3.485005406	5.33785667	4.675286818	4.501968816	5.073638688	4.333017135	2.020451876	3.615454441	2.422695445	3.735095613	4.703504196	5.083233566	3.11454268	4.759608851	4.903854751	4.180171769	4.664048055	4.967912712	3.56656135	4.216166912	5.209049985	3.833157041	0	3.323706916	0	3.348107329	4.041747157	0	5.529642237	3.878716672	4.702312017	4.921553888	4.67043187	5.110338912	4.935555036	5.3624294	4.6797313	0	3.736843726	0	0	0	0	0	4.859819948	0	0	0	0	3.21553672	4.90948535	3.434156842	3.966870531	0	3.60316071	2.204584497	0	2.932329001	0	3.310726111	3.436953293	3.302385884	0
ABplapaaaa	0	2.390328207	0	0	0	0.623306564	3.702940052	3.409115371	4.379281937	3.195455992	3.119990401	3.863154866	3.059959972	3.275274336	3.011689306	4.076835124	0	0	0	0	3.188566877	2.656838228	0	0	3.355485597	2.477671275	3.51420687	0	0	3.568112215	3.391847152	3.242825494	2.719609201	2.258055865	3.073090965	3.958781901	5.020970876	3.300085626	2.738922032	3.041829568	3.357445722	1.79181932	3.499609279	0	0	0	0	3.944357495	3.141347688	4.3053288	2.90886408	4.307754329	3.063600619	3.523831725	3.445725486	2.434852584	0	0	0	0	2.709880431	3.681123166	0.366682371	3.840839569	3.56436345	0	3.03993871	4.01657257	0	2.744618354	3.701664049	2.994676368	0	0	0	0	2.173389324	0	4.47730956	0	3.584893628	3.729930205	2.679238266	3.051862227	2.420839816	2.879569912	2.886491235	0	0	0	0	0	0	0	3.331260497	0	0	0	0	0	3.694563934	0	2.219385543	0	0	0	0	0	0	0	0	0	0
ABplapaaap	0	2.235423808	0	0	0	0	3.760665676	3.190102153	4.176169359	2.971146194	2.875315239	3.721587302	2.819809799	3.14191685	3.031511964	3.861702586	0	0	0	0	2.912532229	0.480430519	0	0	3.031274775	2.849453736	3.394489843	0	0	3.255827763	2.81670695	3.246442906	0	1.960387641	2.660147667	3.861451805	4.693200011	2.658658721	0	2.854826157	3.328768324	0	3.213597885	0	0	0	0	3.522949614	2.316736723	4.032640742	3.097943307	4.209788743	2.678528188	3.212580049	3.584567799	2.715181121	0	0	0	0	2.357995681	3.226850413	0	3.786893329	3.388844855	0	2.512759676	3.906804765	0	0	3.568589352	0	0	0	0	0	0	0	4.378898341	0	3.430052763	3.590213281	2.424703212	2.798607959	0	3.290613466	2.512765059	0	0	0	0	0	0	0	2.900091942	0	0	0	0	0	3.437591626	0	0	0	0	0	0	0	0	0	0	0	0
ABplapaapa	2.811219469	0	0	0	0	2.791374403	3.361333367	3.170652495	4.367927901	3.47321451	2.959394695	4.015343415	2.00476096	2.498466155	2.591553984	3.556565408	0	0	0	0	2.242318137	2.742531984	0	0	3.466477321	0	3.043863066	0	0	3.406528778	2.172095345	3.30058249	0	2.108697998	3.529735822	3.644160473	4.769378999	2.80925622	2.505641771	0	3.343386274	2.071562907	2.843285176	0	0	0	0	3.348932847	3.015786423	4.031345556	3.162626819	4.002477092	2.955646381	3.620426287	3.481472488	3.540416851	0	1.660205453	0	2.339626777	3.580818398	3.621650714	2.45569915	3.120602313	3.348841714	2.663278977	3.1008541	4.177829277	0	2.953974025	3.014053865	0	0	0	0	0	2.643970173	0	4.281765238	0	2.924416564	2.718620815	2.676134737	4.268114407	2.404140021	3.317284571	3.292727505	0	0	0	0	0	0	0	3.172319728	0	0	0	0	0	3.759702879	0	2.301866371	0	0	0	0	0	0	0	0	0	0
